OBJECTID,wdpaid,en_name,PATH,ROW,Shape_Length,Shape_Area
157,2554,Darien National Park,116,190,0.245778733541819,0.001234348720826
158,2554,Darien National Park,117,189,4.577687781860997,0.365923579804164
159,2554,Darien National Park,117,190,2.695247655396387,0.120588561207367
160,2570,Los Glaciares National Park,123,149,4.368546821995174,0.575685827755187
161,2570,Los Glaciares National Park,123,150,2.641897543351984,0.369646565692597
162,2570,Los Glaciares National Park,124,149,5.134443820934724,0.778818175364464
163,2570,Los Glaciares National Park,124,150,2.328077330538104,0.191723442859796
164,2570,Los Glaciares National Park,230,94,0.494302256839279,0.015665493976035
165,2570,Los Glaciares National Park,230,95,4.219390178716866,0.350577828787948
166,2570,Los Glaciares National Park,231,94,2.450798028417414,0.278114038178104
167,2570,Los Glaciares National Park,231,95,4.804271853674676,0.683198053189256
168,2570,Los Glaciares National Park,232,94,1.407709425381891,0.094259444112333
169,2570,Los Glaciares National Park,232,95,0.856661491582802,0.018633001184754
170,2571,Great Barrier Reef,89,76,2.536976825759513,0.255763867071181
171,2571,Great Barrier Reef,89,77,3.084523075810985,0.567155266644226
172,2571,Great Barrier Reef,90,74,0.878347531411761,0.025123295003385
173,2571,Great Barrier Reef,90,75,4.993313659284853,1.359087639248134
174,2571,Great Barrier Reef,90,76,6.309328947734160,2.568949651372046
175,2571,Great Barrier Reef,90,77,5.616260431741421,1.148462675340508
176,2571,Great Barrier Reef,91,74,4.819102073109923,1.061852195038735
177,2571,Great Barrier Reef,91,75,6.682930759187336,2.768086900243948
178,2571,Great Barrier Reef,91,76,10.524278379692090,2.065148701945453
179,2571,Great Barrier Reef,91,77,3.775436690107240,0.116785179688045
180,2571,Great Barrier Reef,92,73,1.714085923671525,0.098868451031525
181,2571,Great Barrier Reef,92,74,6.215008030620062,2.432652111852011
182,2571,Great Barrier Reef,92,75,10.267456904164625,2.260145997267959
183,2571,Great Barrier Reef,92,76,3.963316389196232,0.060776950293288
184,2571,Great Barrier Reef,93,73,5.125948820316509,1.337327321543933
185,2571,Great Barrier Reef,93,74,9.449977460386196,1.919359599711353
186,2571,Great Barrier Reef,93,75,3.067416778151971,0.128423978568425
187,2571,Great Barrier Reef,94,72,2.883060753894589,0.279193451471436
188,2571,Great Barrier Reef,94,73,7.115969359766199,2.448179650882122
189,2571,Great Barrier Reef,94,74,3.281865866684820,0.238638505982467
190,2571,Great Barrier Reef,95,70,0.042558065700511,0.000075052723081
191,2571,Great Barrier Reef,95,71,4.201212996435354,0.732827122260928
192,2571,Great Barrier Reef,95,72,6.320063883921578,1.608877875661416
193,2571,Great Barrier Reef,95,73,4.769166180358481,0.834635613467920
194,2571,Great Barrier Reef,96,69,2.451992161316530,0.207610268426036
195,2571,Great Barrier Reef,96,70,5.784555841326073,1.359886648134352
196,2571,Great Barrier Reef,96,71,5.163126696709792,1.005682422017938
197,2571,Great Barrier Reef,96,72,1.042840257495189,0.035009456998254
198,2571,Great Barrier Reef,97,67,2.498875314337417,0.172289023378906
199,2571,Great Barrier Reef,97,68,5.640312966446075,1.952158638822487
200,2571,Great Barrier Reef,97,69,6.369533668760657,2.336716730875661
201,2571,Great Barrier Reef,97,70,5.051320152856498,0.853099992139019
202,2571,Great Barrier Reef,98,67,3.968071230783937,0.323417914841021
203,2571,Great Barrier Reef,98,68,7.121829917264003,1.596085529460029
204,2571,Great Barrier Reef,98,69,3.572689317022724,0.230962640395867
205,2571,Great Barrier Reef,99,67,0.439708936987403,0.001170824696762
206,2571,Great Barrier Reef,99,68,0.157391018440809,0.000367739378635
207,2571,Great Barrier Reef,204,167,1.362865347552517,0.049037136916844
208,2571,Great Barrier Reef,204,168,1.940218334463574,0.031604264297973
209,2571,Great Barrier Reef,205,167,4.626731056873318,1.111404870094008
210,2571,Great Barrier Reef,205,168,6.138952892147894,2.336098910233534
